Instance_Name_Alias,Instance_Name,Instance_Memory_GiB,Number_vCPUs,Instance_Storage_Type_and_Capacity,Network_Performance,On_Demand_hourly_price,Linux_Reserved_Cost_1_Year_Hourly,Linux_Spot_Minimum_Cost_Hourly
P5 48xlarge,p5.48xlarge,2048.0,192,30400 GB (8 * 3800 GB NVMe SSD),3200 Gigabit,98.32,0.0,72.917
P4D Highest Performance GPU 24xlarge,p4d.24xlarge,1152.0,96,8000 GB (8 * 1000 GB NVMe SSD),4x 100 Gigabit,32.7726,20.1755,10.4015
T4G Nano,t4g.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0042,0.0026,0.003
T3A Nano,t3a.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0047,0.0029,0.0021
T3 Nano,t3.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0052,0.0033,0.0021
T2 Nano,t2.nano,0.5,1,EBS only,Low to Moderate,0.0058,0.0036,0.0
T4G Micro,t4g.micro,1.0,2,EBS only,Up to 5 Gigabit,0.0084,0.0053,0.0039
T3A Micro,t3a.micro,1.0,2,EBS only,Up to 5 Gigabit,0.0094,0.0059,0.0042
T3 Micro,t3.micro,1.0,2,EBS only,Up to 5 Gigabit,0.0104,0.0065,0.0043
T2 Micro,t2.micro,1.0,1,EBS only,Low to Moderate,0.0116,0.0072,0.0041
T4G Small,t4g.small,2.0,2,EBS only,Up to 5 Gigabit,0.0168,0.0105,0.0075
T3A Small,t3a.small,2.0,2,EBS only,Up to 5 Gigabit,0.0188,0.0118,0.0085
T1 Micro,t1.micro,0.613,1,EBS only,Very Low,0.02,0.014,0.008
T3 Small,t3.small,2.0,2,EBS only,Up to 5 Gigabit,0.0208,0.013,0.0079
T2 Small,t2.small,2.0,1,EBS only,Low to Moderate,0.023,0.0144,0.0096
A1 Medium,a1.medium,2.0,1,EBS only,Up to 10 Gigabit,0.0255,0.0161,0.0108
T4G Medium,t4g.medium,4.0,2,EBS only,Up to 5 Gigabit,0.0336,0.0211,0.0153
C6G Medium,c6g.medium,2.0,1,EBS only,Up to 10 Gigabit,0.034,0.0214,0.0153
C7G Medium,c7g.medium,2.0,1,EBS only,Up to 12.5 Gigabit,0.0363,0.0239,0.0168
T3A Medium,t3a.medium,4.0,2,EBS only,Up to 5 Gigabit,0.0376,0.0236,0.0154
C6GD Medium,c6gd.medium,2.0,1,59 GB NVMe SSD,Up to 10 Gigabit,0.0384,0.0242,0.0182
M6G Medium,m6g.medium,4.0,1,EBS only,Up to 10 Gigabit,0.0385,0.0241,0.0176
M7G Medium,m7g.medium,4.0,1,EBS only,Up to 12.5 Gigabit,0.0408,0.027,0.0175
T3 Medium,t3.medium,4.0,2,EBS only,Up to 5 Gigabit,0.0416,0.0261,0.0175
C6GN Medium,c6gn.medium,2.0,1,EBS only,Up to 16 Gigabit,0.0432,0.0273,0.018
M1 General Purpose Small,m1.small,1.7,1,160 GB HDD,Low,0.044,0.028,0.0174
M6GD Medium,m6gd.medium,4.0,1,59 GB NVMe SSD,Up to 10 Gigabit,0.0452,0.0285,0.0191
C7GD Medium,c7gd.medium,2.0,1,59 GB NVMe SSD,Up to 12.5 Gigabit,0.0454,0.0286,0.0185
T2 Medium,t2.medium,4.0,2,EBS only,Low to Moderate,0.0464,0.0287,0.0191
R6G Medium,r6g.medium,8.0,1,EBS only,Up to 10 Gigabit,0.0504,0.0318,0.0203
A1 Large,a1.large,4.0,2,EBS only,Up to 10 Gigabit,0.051,0.0321,0.0244
C7A Medium,c7a.medium,2.0,1,EBS only,Up to 12.5 Gigabit,0.0513,0.034,0.0201
M7GD Medium,m7gd.medium,4.0,1,59 GB NVMe SSD,Up to 12.5 Gigabit,0.0534,0.0336,0.0207
R7G Medium,r7g.medium,8.0,1,EBS only,Up to 12.5 Gigabit,0.0536,0.0354,0.0205
R6GD Medium,r6gd.medium,8.0,1,59 GB NVMe SSD,Up to 10 Gigabit,0.0576,0.0363,0.0316
M7A Medium,m7a.medium,4.0,1,EBS only,Up to 12.5 Gigabit,0.058,0.0383,0.0221
C7GN Medium,c7gn.medium,2.0,1,EBS only,Up to 25 Gigabit,0.0624,0.0393,0.0238
M3 General Purpose Medium,m3.medium,3.75,1,4 GB SSD,Moderate,0.067,0.048,0.025
T4G Large,t4g.large,8.0,2,EBS only,Up to 5 Gigabit,0.0672,0.0421,0.0313
R7GD Medium,r7gd.medium,8.0,1,59 GB NVMe SSD,Up to 12.5 Gigabit,0.068,0.0428,0.0333
C6G Large,c6g.large,4.0,2,EBS only,Up to 10 Gigabit,0.068,0.0428,0.0303
C7G Large,c7g.large,4.0,2,EBS only,Up to 12.5 Gigabit,0.0725,0.0478,0.033
T3A Large,t3a.large,8.0,2,EBS only,Up to 5 Gigabit,0.0752,0.0471,0.0303
R7A Medium,r7a.medium,8.0,1,EBS only,Up to 12.5 Gigabit,0.0761,0.0503,0.031
C6A Large,c6a.large,4.0,2,EBS only,Up to 12.5 Gigabit,0.0765,0.0506,0.036
C6GD Large,c6gd.large,4.0,2,118 GB NVMe SSD,Up to 10 Gigabit,0.0768,0.0484,0.0343
M6G Large,m6g.large,8.0,2,EBS only,Up to 10 Gigabit,0.077,0.0483,0.0335
C5A Large,c5a.large,4.0,2,EBS only,Up to 10 Gigabit,0.077,0.049,0.0364
M7G Large,m7g.large,8.0,2,EBS only,Up to 12.5 Gigabit,0.0816,0.054,0.0362
T3 Large,t3.large,8.0,2,EBS only,Up to 5 Gigabit,0.0832,0.0522,0.0393
X2GD Medium,x2gd.medium,16.0,1,59 GB NVMe SSD,Up to 10 Gigabit,0.0835,0.0515,0.0303
C5 High-CPU Large,c5.large,4.0,2,EBS only,Up to 10 Gigabit,0.085,0.054,0.0405
C6I Large,c6i.large,4.0,2,EBS only,Up to 12.5 Gigabit,0.085,0.0562,0.0363
M5A Large,m5a.large,8.0,2,EBS only,Up to 10 Gigabit,0.086,0.054,0.0403
C5AD Large,c5ad.large,4.0,2,75 GB NVMe SSD,Up to 10 Gigabit,0.086,0.054,0.0379
M6A Large,m6a.large,8.0,2,EBS only,Up to 12.5 Gigabit,0.0864,0.0571,0.0348
C6GN Large,c6gn.large,4.0,2,EBS only,Up to 25 Gigabit,0.0864,0.0545,0.0363
M1 General Purpose Medium,m1.medium,3.75,1,410 GB HDD,Moderate,0.087,0.056,0.0312
C7I Large,c7i.large,4.0,2,EBS only,Up to 12.5 Gigabit,0.0892,0.059,0.0384
M6GD Large,m6gd.large,8.0,2,118 GB NVMe SSD,Up to 10 Gigabit,0.0904,0.057,0.0439
C7GD Large,c7gd.large,4.0,2,118 GB NVMe SSD,Up to 12.5 Gigabit,0.0907,0.0572,0.0366
T2 Large,t2.large,8.0,2,EBS only,Low to Moderate,0.0928,0.0575,0.0416
M7I-FLEX Large,m7i-flex.large,8.0,2,EBS only,Up to 12.5 Gigabit,0.0958,0.0633,0.0429
M6I Large,m6i.large,8.0,2,EBS only,Up to 12.5 Gigabit,0.096,0.0635,0.0413
M5 General Purpose Large,m5.large,8.0,2,EBS only,Up to 10 Gigabit,0.096,0.06,0.0396
C5 High-CPU Large,c5d.large,4.0,2,50 GB NVMe SSD,Up to 10 Gigabit,0.096,0.06,0.0396
M4 General Purpose Large,m4.large,8.0,2,EBS only,Moderate,0.1,0.062,0.0486
C4 High-CPU Large,c4.large,3.75,2,EBS only,Moderate,0.1,0.063,0.0478
M7I Large,m7i.large,8.0,2,EBS only,Up to 12.5 Gigabit,0.1008,0.0667,0.0438
C6ID Large,c6id.large,4.0,2,118 GB NVMe SSD,Up to 12.5 Gigabit,0.1008,0.0635,0.0431
R6G Large,r6g.large,16.0,2,EBS only,Up to 10 Gigabit,0.1008,0.0635,0.0389
A1 Extra Large,a1.xlarge,8.0,4,EBS only,Up to 10 Gigabit,0.102,0.0643,0.0591
C7A Large,c7a.large,4.0,2,EBS only,Up to 12.5 Gigabit,0.1026,0.0679,0.0434
M5AD Large,m5ad.large,8.0,2,75 GB NVMe SSD,Up to 10 Gigabit,0.103,0.065,0.0504
C3 High-CPU Large,c3.large,3.75,2,32 GB (2 * 16 GB SSD),Moderate,0.105,0.073,0.0596
M7GD Large,m7gd.large,8.0,2,118 GB NVMe SSD,Up to 12.5 Gigabit,0.1068,0.0673,0.0434
R7G Large,r7g.large,16.0,2,EBS only,Up to 12.5 Gigabit,0.1071,0.0708,0.0425
C5N Large,c5n.large,5.25,2,EBS only,Up to 25 Gigabit,0.108,0.068,0.0478
M5 General Purpose Large,m5d.large,8.0,2,75 GB NVMe SSD,Up to 10 Gigabit,0.113,0.071,0.0509
R5A Large,r5a.large,16.0,2,EBS only,Up to 10 Gigabit,0.113,0.071,0.0571
R6A Large,r6a.large,16.0,2,EBS only,Up to 12.5 Gigabit,0.1134,0.075,0.0514
C6IN Large,c6in.large,4.0,2,EBS only,Up to 25 Gigabit,0.1134,0.0714,0.0487
R6GD Large,r6gd.large,16.0,2,118 GB NVMe SSD,Up to 10 Gigabit,0.1152,0.0726,0.05
M7A Large,m7a.large,8.0,2,EBS only,Up to 12.5 Gigabit,0.1159,0.0767,0.0458
M6ID Large,m6id.large,8.0,2,118 GB NVMe SSD,Up to 12.5 Gigabit,0.1187,0.0747,0.049
M5N Large,m5n.large,8.0,2,EBS only,Up to 25 Gigabit,0.119,0.075,0.0468
C7GN Large,c7gn.large,4.0,2,EBS only,Up to 30 Gigabit,0.1248,0.0786,0.0498
R6I Large,r6i.large,16.0,2,EBS only,Up to 12.5 Gigabit,0.126,0.0833,0.0509
R5 Large,r5.large,16.0,2,EBS only,Up to 10 Gigabit,0.126,0.079,0.0597
C1 High-CPU Medium,c1.medium,1.7,2,350 GB HDD,Moderate,0.13,0.091,0.0471
R5AD Large,r5ad.large,16.0,2,75 GB NVMe SSD,Up to 10 Gigabit,0.131,0.083,0.0646
R7I Large,r7i.large,16.0,2,EBS only,Up to 12.5 Gigabit,0.1323,0.0875,0.0354
M3 General Purpose Large,m3.large,7.5,2,32 GB SSD,Moderate,0.133,0.095,0.0489
R4 High-Memory Large,r4.large,15.25,2,EBS only,Up to 10 Gigabit,0.133,0.084,0.057
T4G Extra Large,t4g.xlarge,16.0,4,EBS only,Up to 5 Gigabit,0.1344,0.0843,0.0588
M5DN Large,m5dn.large,8.0,2,75 GB NVMe SSD,Up to 25 Gigabit,0.136,0.086,0.0543
C6G Extra Large,c6g.xlarge,8.0,4,EBS only,Up to 10 Gigabit,0.136,0.0857,0.0608
R7GD Large,r7gd.large,16.0,2,118 GB NVMe SSD,Up to 12.5 Gigabit,0.1361,0.0855,0.0559
M6IN Large,m6in.large,8.0,2,EBS only,Up to 25 Gigabit,0.1392,0.0877,0.0573
R5D Large,r5d.large,16.0,2,75 GB NVMe SSD,Up to 10 Gigabit,0.144,0.091,0.063
IS4GEN Medium,is4gen.medium,6.0,1,937 GB NVMe SSD,Up to 25 Gigabit,0.1441,0.0983,0.0478
C7G Extra Large,c7g.xlarge,8.0,4,EBS only,Up to 12.5 Gigabit,0.145,0.0955,0.0697
R5B Large,r5b.large,16.0,2,EBS only,Up to 10 Gigabit,0.149,0.0939,0.076
R5N Large,r5n.large,16.0,2,EBS only,Up to 25 Gigabit,0.149,0.094,0.0658
T3A Extra Large,t3a.xlarge,16.0,4,EBS only,Up to 5 Gigabit,0.1504,0.0943,0.0675
R6ID Large,r6id.large,16.0,2,118 GB NVMe SSD,Up to 12.5 Gigabit,0.1512,0.095,0.0624
R7A Large,r7a.large,16.0,2,EBS only,Up to 12.5 Gigabit,0.1522,0.1007,0.0602
C6A Extra Large,c6a.xlarge,8.0,4,EBS only,Up to 12.5 Gigabit,0.153,0.1012,0.074
C6GD Extra Large,c6gd.xlarge,8.0,4,237 GB NVMe SSD,Up to 10 Gigabit,0.1536,0.0968,0.0716
C5A Extra Large,c5a.xlarge,8.0,4,EBS only,Up to 10 Gigabit,0.154,0.097,0.0704
M6G Extra Large,m6g.xlarge,16.0,4,EBS only,Up to 10 Gigabit,0.154,0.0966,0.065
I4G Large,i4g.large,16.0,2,468 GB NVMe SSD,Up to 10 Gigabit,0.1544,0.1002,0.0555
I3 High I/O Large,i3.large,15.25,2,475 GB NVMe SSD,Up to 10 Gigabit,0.156,0.107,0.0588
M6IDN Large,m6idn.large,8.0,2,118 GB NVMe SSD,Up to 25 Gigabit,0.1591,0.1003,0.0575
M7G Extra Large,m7g.xlarge,16.0,4,EBS only,Up to 12.5 Gigabit,0.1632,0.108,0.0642
M5ZN Large,m5zn.large,8.0,2,EBS only,Up to 25 Gigabit,0.1652,0.1041,0.0628
R3 High-Memory Large,r3.large,15.25,2,32 GB SSD,Moderate,0.166,0.105,0.0658
T3 Extra Large,t3.xlarge,16.0,4,EBS only,Up to 5 Gigabit,0.1664,0.1043,0.0744
R5DN Large,r5dn.large,16.0,2,75 GB NVMe SSD,Up to 25 Gigabit,0.167,0.105,0.069
X2GD Large,x2gd.large,32.0,2,118 GB NVMe SSD,Up to 10 Gigabit,0.167,0.1029,0.0675
C5 High-CPU Extra Large,c5.xlarge,8.0,4,EBS only,Up to 10 Gigabit,0.17,0.107,0.081
C6I Extra Large,c6i.xlarge,8.0,4,EBS only,Up to 12.5 Gigabit,0.17,0.1125,0.0809
I4I Large,i4i.large,16.0,2,468 GB NVMe SSD,Up to 10 Gigabit,0.172,0.111,0.0644
C5AD Extra Large,c5ad.xlarge,8.0,4,150 GB NVMe SSD,Up to 10 Gigabit,0.172,0.108,0.0786
M5A Extra Large,m5a.xlarge,16.0,4,EBS only,Up to 10 Gigabit,0.172,0.108,0.0864
M6A Extra Large,m6a.xlarge,16.0,4,EBS only,Up to 12.5 Gigabit,0.1728,0.1143,0.0862
C6GN Extra Large,c6gn.xlarge,8.0,4,EBS only,Up to 25 Gigabit,0.1728,0.1091,0.0693
R6IN Large,r6in.large,16.0,2,EBS only,Up to 25 Gigabit,0.1743,0.1098,0.0686
M1 General Purpose Large,m1.large,7.5,2,840 GB (2 * 420 GB HDD),Moderate,0.175,0.112,0.0661
C7I Extra Large,c7i.xlarge,8.0,4,EBS only,Up to 12.5 Gigabit,0.1785,0.1181,0.0813
M6GD Extra Large,m6gd.xlarge,16.0,4,237 GB NVMe SSD,Up to 10 Gigabit,0.1808,0.1139,0.0784
C7GD Extra Large,c7gd.xlarge,8.0,4,237 GB NVMe SSD,Up to 12.5 Gigabit,0.1814,0.1143,0.0745
IM4GN Large,im4gn.large,8.0,2,937 GB NVMe SSD,Up to 25 Gigabit,0.1819,0.1167,0.0613
T2 Extra Large,t2.xlarge,16.0,4,EBS only,Moderate,0.1856,0.115,0.0711
R7IZ Large,r7iz.large,16.0,2,EBS only,Up to 12.5 Gigabit,0.186,0.1172,0.0672
Z1D Large,z1d.large,16.0,2,75 GB NVMe SSD,Up to 10 Gigabit,0.186,0.117,0.0656
M7I-FLEX Extra Large,m7i-flex.xlarge,16.0,4,EBS only,Up to 12.5 Gigabit,0.1915,0.1267,0.0847
C5 High-CPU Extra Large,c5d.xlarge,8.0,4,100 GB NVMe SSD,Up to 10 Gigabit,0.192,0.121,0.0927
M6I Extra Large,m6i.xlarge,16.0,4,EBS only,Up to 12.5 Gigabit,0.192,0.127,0.0793
M5 General Purpose Extra Large,m5.xlarge,16.0,4,EBS only,Up to 10 Gigabit,0.192,0.121,0.0745
R6IDN Large,r6idn.large,16.0,2,118 GB NVMe SSD,Up to 25 Gigabit,0.1954,0.1231,0.0699
C4 High-CPU Extra Large,c4.xlarge,7.5,4,EBS only,High,0.199,0.126,0.0782
M4 General Purpose Extra Large,m4.xlarge,16.0,4,EBS only,High,0.2,0.1239,0.0904
M7I Extra Large,m7i.xlarge,16.0,4,EBS only,Up to 12.5 Gigabit,0.2016,0.1334,0.0913
C6ID Extra Large,c6id.xlarge,8.0,4,237 GB NVMe SSD,Up to 12.5 Gigabit,0.2016,0.127,0.0896
R6G Extra Large,r6g.xlarge,32.0,4,EBS only,Up to 10 Gigabit,0.2016,0.127,0.0777
A1 Double Extra Large,a1.2xlarge,16.0,8,EBS only,Up to 10 Gigabit,0.204,0.1285,0.0946
C7A Extra Large,c7a.xlarge,8.0,4,EBS only,Up to 12.5 Gigabit,0.2053,0.1358,0.1044
M5AD Extra Large,m5ad.xlarge,16.0,4,150 GB NVMe SSD,Up to 10 Gigabit,0.206,0.13,0.1118
C3 High-CPU Extra Large,c3.xlarge,7.5,4,80 GB (2 * 40 GB SSD),Moderate,0.21,0.146,0.1011
M7GD Extra Large,m7gd.xlarge,16.0,4,237 GB NVMe SSD,Up to 12.5 Gigabit,0.2136,0.1345,0.0831
R7G Extra Large,r7g.xlarge,32.0,4,EBS only,Up to 12.5 Gigabit,0.2142,0.1417,0.0988
C5N Extra Large,c5n.xlarge,10.5,4,EBS only,Up to 25 Gigabit,0.216,0.136,0.1005
I3EN Large,i3en.large,16.0,2,1250 GB NVMe SSD,Up to 25 Gigabit,0.226,0.154,0.0848
M5 General Purpose Extra Large,m5d.xlarge,16.0,4,150 GB NVMe SSD,Up to 10 Gigabit,0.226,0.142,0.1154
R5A Extra Large,r5a.xlarge,32.0,4,EBS only,Up to 10 Gigabit,0.226,0.142,0.1047
C6IN Extra Large,c6in.xlarge,8.0,4,EBS only,Up to 30 Gigabit,0.2268,0.1429,0.0984
R6A Extra Large,r6a.xlarge,32.0,4,EBS only,Up to 12.5 Gigabit,0.2268,0.15,0.1019
INF1 Extra Large,inf1.xlarge,8.0,4,EBS only,Up to 25 Gigabit,0.228,0.144,0.0887
R6GD Extra Large,r6gd.xlarge,32.0,4,237 GB NVMe SSD,Up to 10 Gigabit,0.2304,0.1452,0.1099
M7A Extra Large,m7a.xlarge,16.0,4,EBS only,Up to 12.5 Gigabit,0.2318,0.1534,0.0946
M6ID Extra Large,m6id.xlarge,16.0,4,237 GB NVMe SSD,Up to 12.5 Gigabit,0.2373,0.1495,0.0917
M5N Extra Large,m5n.xlarge,16.0,4,EBS only,Up to 25 Gigabit,0.238,0.15,0.0948
M2 High Memory Extra Large,m2.xlarge,17.1,2,420 GB HDD,Moderate,0.245,0.111,0.1007
C7GN Extra Large,c7gn.xlarge,8.0,4,EBS only,Up to 40 Gigabit,0.2496,0.1572,0.1004
R5 Extra Large,r5.xlarge,32.0,4,EBS only,Up to 10 Gigabit,0.252,0.159,0.1085
R6I Extra Large,r6i.xlarge,32.0,4,EBS only,Up to 12.5 Gigabit,0.252,0.1667,0.1052
R5AD Extra Large,r5ad.xlarge,32.0,4,150 GB NVMe SSD,Up to 10 Gigabit,0.262,0.165,0.1234
R7I Extra Large,r7i.xlarge,32.0,4,EBS only,Up to 12.5 Gigabit,0.2646,0.175,0.0713
M3 General Purpose Extra Large,m3.xlarge,15.0,4,80 GB (2 * 40 GB SSD),High,0.266,0.19,0.1117
R4 High-Memory Extra Large,r4.xlarge,30.5,4,EBS only,Up to 10 Gigabit,0.266,0.168,0.122
T4G Double Extra Large,t4g.2xlarge,32.0,8,EBS only,Up to 5 Gigabit,0.2688,0.1686,0.1176
M5DN Extra Large,m5dn.xlarge,16.0,4,150 GB NVMe SSD,Up to 25 Gigabit,0.272,0.171,0.1327
C6G Double Extra Large,c6g.2xlarge,16.0,8,EBS only,Up to 10 Gigabit,0.272,0.1714,0.1208
R7GD Extra Large,r7gd.xlarge,32.0,4,237 GB NVMe SSD,Up to 12.5 Gigabit,0.2722,0.171,0.1065
M6IN Extra Large,m6in.xlarge,16.0,4,EBS only,Up to 30 Gigabit,0.2785,0.1754,0.1315
R5D Extra Large,r5d.xlarge,32.0,4,150 GB NVMe SSD,Up to 10 Gigabit,0.288,0.181,0.1465
IS4GEN Large,is4gen.large,12.0,2,1875 GB NVMe SSD,Up to 25 Gigabit,0.2882,0.1965,0.1186
C7G Double Extra Large,c7g.2xlarge,16.0,8,EBS only,Up to 15 Gigabit,0.29,0.1911,0.1174
R5B Extra Large,r5b.xlarge,32.0,4,EBS only,Up to 10 Gigabit,0.298,0.1877,0.1536
R5N Extra Large,r5n.xlarge,32.0,4,EBS only,Up to 25 Gigabit,0.298,0.188,0.1372
T3A Double Extra Large,t3a.2xlarge,32.0,8,EBS only,Up to 5 Gigabit,0.3008,0.1886,0.1392
R6ID Extra Large,r6id.xlarge,32.0,4,237 GB NVMe SSD,Up to 12.5 Gigabit,0.3024,0.19,0.1133
R7A Extra Large,r7a.xlarge,32.0,4,EBS only,Up to 12.5 Gigabit,0.3043,0.2013,0.118
C6A Double Extra Large,c6a.2xlarge,16.0,8,EBS only,Up to 12.5 Gigabit,0.306,0.2024,0.1521
C6GD Double Extra Large,c6gd.2xlarge,16.0,8,474 GB NVMe SSD,Up to 10 Gigabit,0.3072,0.1935,0.1347
M6G Double Extra Large,m6g.2xlarge,32.0,8,EBS only,Up to 10 Gigabit,0.308,0.1932,0.1322
C5A Double Extra Large,c5a.2xlarge,16.0,8,EBS only,Up to 10 Gigabit,0.308,0.194,0.1577
I4G Extra Large,i4g.xlarge,32.0,4,937 GB NVMe SSD,Up to 10 Gigabit,0.3089,0.2004,0.1151
I3 High I/O Extra Large,i3.xlarge,30.5,4,950 GB NVMe SSD,Up to 10 Gigabit,0.312,0.214,0.1355
M6IDN Extra Large,m6idn.xlarge,16.0,4,237 GB NVMe SSD,Up to 30 Gigabit,0.3182,0.2005,0.1309
M7G Double Extra Large,m7g.2xlarge,32.0,8,EBS only,Up to 15 Gigabit,0.3264,0.2159,0.142
M5ZN Extra Large,m5zn.xlarge,16.0,4,EBS only,Up to 25 Gigabit,0.3303,0.2081,0.164
T3 Double Extra Large,t3.2xlarge,32.0,8,EBS only,Up to 5 Gigabit,0.3328,0.2086,0.1363
R3 High-Memory Extra Large,r3.xlarge,30.5,4,80 GB SSD,Moderate,0.333,0.209,0.1185
R5DN Extra Large,r5dn.xlarge,32.0,4,150 GB NVMe SSD,Up to 25 Gigabit,0.334,0.21,0.1411
X2GD Extra Large,x2gd.xlarge,64.0,4,237 GB NVMe SSD,Up to 10 Gigabit,0.334,0.2058,0.1349
C6I Double Extra Large,c6i.2xlarge,16.0,8,EBS only,Up to 12.5 Gigabit,0.34,0.2249,0.1548
C5 High-CPU Double Extra Large,c5.2xlarge,16.0,8,EBS only,Up to 10 Gigabit,0.34,0.214,0.1449
I4I Extra Large,i4i.xlarge,32.0,4,937 GB NVMe SSD,Up to 10 Gigabit,0.343,0.223,0.1464
M5A Double Extra Large,m5a.2xlarge,32.0,8,EBS only,Up to 10 Gigabit,0.344,0.217,0.1818
C5AD Double Extra Large,c5ad.2xlarge,16.0,8,300 GB NVMe SSD,Up to 10 Gigabit,0.344,0.217,0.1608
C6GN Double Extra Large,c6gn.2xlarge,16.0,8,EBS only,Up to 25 Gigabit,0.3456,0.2181,0.1381
M6A Double Extra Large,m6a.2xlarge,32.0,8,EBS only,Up to 12.5 Gigabit,0.3456,0.2286,0.1874
